	lat	long	sqft_living15	sqft_lot15	bedrooms	bathrooms	sqft_living	sqft_lot	floors	waterfront	view	condition	grade	sqft_above	sqft_basement	yr_built	yr_renovated	zipcode	price	__domino_timestamp	event_id	timestamp	instance_id	log
0	5.1267	4.6818	4.7782	8.5801	9.0252	3.2676	1.3074	10.1922	1.9527	8.7471	2.3348	10.6816	4.2771	3.9587	8.6777	8.8886	9.4945	10.7881	217000.0	2021-11-02T23:42:12.110781+00:00	77cb90af-ca67-4475-9562-057b5132248d	2021-11-02 23:42:12.110781+00:00	6169c82f761da24792b92751	
1	8.6489	4.5412	7.2491	7.9346	4.4737	9.865	6.4419	6.9743	8.9924	2.5906000000000002	6.4643	6.4893	5.4861	7.9652	10.4216	2.2787	6.8778	6.2954	570000.0	2021-11-02T23:42:12.130356+00:00	99f5ebc6-990f-4488-aa66-097ced2ed3a3	2021-11-02 23:42:12.130356+00:00	6169c82f761da24792b92751	
2	4.8997	5.834	2.5448	2.2834	7.6988	1.6378	3.5127	3.2418	8.5578	7.7997	7.078	1.2543	7.8209	4.2476	9.3288	6.4198	4.8676	10.3764	570000.0	2021-11-02T23:42:12.149564+00:00	c23d6cb7-880a-4768-b1c9-825f127994b4	2021-11-02 23:42:12.149564+00:00	6169c82f761da24792b92751	
3	8.9661	8.8853	2.9487	10.8677	2.0018	9.9762	10.0065	1.7246000000000001	4.0931	3.6477	8.5528	5.9625	9.2522	3.52	9.9204	7.5043	9.4725	6.2977	770000.0	2021-11-02T23:42:12.170946+00:00	eb132847-bcc8-4da9-9f6f-21d174757c52	2021-11-02 23:42:12.170946+00:00	6169c82f761da24792b92751	
4	2.0528	4.6756	4.4126	3.1998	3.3029	10.287	2.9649	7.3153	4.9672	2.2341	5.0827	6.1718	5.8186	10.3828	10.0538	3.5365	3.7613000000000003	1.4739	570000.0	2021-11-02T23:42:12.193671+00:00	c3853789-8bd5-49d9-98e9-c16dd06b2097	2021-11-02 23:42:12.193671+00:00	6169c82f761da24792b92751	
5	8.7555	3.6915	9.4561	4.02	6.5458	4.6425	9.078	9.4289	1.1618	7.0917	5.6809	4.1349	1.99	4.9492	6.4943	9.2464	2.15	8.705	570000.0	2021-11-02T23:42:12.214647+00:00	5951e128-6f29-4343-907c-73d56eef0bfc	2021-11-02 23:42:12.214647+00:00	6169c82f761da24792b92751	
6	10.8355	6.6379	3.3905	8.4424	3.6634	7.0783	3.3757	2.7984	9.6942	3.9014	2.6284	10.8444	10.944700000000001	7.1331	7.9865	4.0614	2.1195	2.2816	770000.0	2021-11-02T23:42:12.233380+00:00	459b28fa-c11b-4d45-861a-7553617a6367	2021-11-02 23:42:12.233380+00:00	6169c82f761da24792b92751	
7	10.7912	6.3221	8.4874	9.7792	6.154	1.8904	6.796	1.8477000000000001	9.7953	10.5286	6.254	5.644	5.1864	5.2574	6.8291	10.0949	1.2604	9.9399	570000.0	2021-11-02T23:42:12.251904+00:00	56cbbb61-be62-40fd-a98d-7ce43692caef	2021-11-02 23:42:12.251904+00:00	6169c82f761da24792b92751	
8	1.7256	10.7933	4.7511	1.587	7.4104	6.0221	8.6436	10.5354	4.6999	1.4036	4.1802	3.3383	3.8939	10.4993	1.4311	8.5614	4.8985	5.0069	570000.0	2021-11-02T23:42:12.273045+00:00	189b9ff5-08a8-4a14-a798-ec7c5916e1a7	2021-11-02 23:42:12.273045+00:00	6169c82f761da24792b92751	
9	9.6587	2.1662	5.1069	6.4806	6.7671	6.6575	2.9583	3.7004	9.7664	7.5557	6.4737	6.8438	1.118	5.1508	10.2488	1.4691	6.543	1.888	570000.0	2021-11-02T23:42:12.295024+00:00	fac2d4e0-ab6e-4071-987d-5f047b31da20	2021-11-02 23:42:12.295024+00:00	6169c82f761da24792b92751	
